93.74,6,cifar10,,0.001,vgg19
93.82000000000001,6,cifar10,,0.001,vgg19
93.58,6,cifar10,,0.001,vgg19
93.42,6,cifar10,,0.001,vgg19
93.56,6,cifar10,,0.001,vgg19
93.61,6,cifar10,,0.001,vgg19
93.41000000000001,6,cifar10,,0.001,vgg19
93.56,6,cifar10,,0.001,vgg19
93.73,6,cifar10,,0.001,vgg19
91.9,6,cifar10,,0.001,vgg19
93.84,6,cifar10,,0.001,vgg19
93.82000000000001,6,cifar10,,0.001,vgg19
93.61,6,cifar10,,0.001,vgg19
93.53,6,cifar10,,0.001,vgg19
93.63,6,cifar10,,0.001,vgg19
93.56,6,cifar10,,0.001,vgg19
93.67,6,cifar10,,0.001,vgg19
93.69,6,cifar10,,0.001,vgg19
93.89999999999999,6,cifar10,,0.001,vgg19
92.78999999999999,6,cifar10,,0.001,vgg19
93.69,6,cifar10,,0.001,vgg19
93.66,6,cifar10,,0.001,vgg19
93.86,6,cifar10,,0.0001,vgg19
93.85,6,cifar10,,0,vgg19
93.85,6,cifar10,,0,vgg19
93.85,6,cifar10,,0,vgg19
93.86,6,cifar10,,0,vgg19
90.59,6,cifar10,,0,vgg19
31.009999999999998,6,cifar10,,0,vgg19
